HGNC symbol,TCGA ID,RNA compete matrix,type
TRIM25,TRIM25|7706,-,RBP
TRIM28,TRIM28|10155,-,RBP
TRIM56,TRIM56|81844,-,RBP
TRIM71,TRIM71|131405,-,RBP
TRIP6,TRIP6|7205,-,RBP
TRMT1,TRMT1|55621,-,RBP
TRMT2A,TRMT2A|27037,-,RBP
TRMT6,TRMT6|51605,-,RBP
TRNAU1AP,TRNAU1AP|54952,-,RBP
TRPT1,TRPT1|83707,-,RBP
TRUB2,TRUB2|26995,-,RBP
TSEN2,TSEN2|80746,-,RBP
TSEN34,TSEN34|79042,-,RBP
TSEN54,TSEN54|283989,-,RBP
TSFM,TSFM|10102,-,RBP
TSNAX,TSNAX|7257,-,RBP
TSR1,TSR1|55720,-,RBP
TTF2,TTF2|8458,-,RBP
TUBB,TUBB|203068,-,RBP
TUFM,TUFM|7284,-,RBP
TWF2,TWF2|11344,-,RBP
TWISTNB,TWISTNB|221830,-,RBP
TXN,TXN|7295,-,RBP
TXNL4A,TXNL4A|10907,-,RBP
TXNL4B,TXNL4B|54957,-,RBP
UBA1,UBA1|7317,-,RBP
UBAP2,UBAP2|55833,-,RBP
UBAP2L,UBAP2L|9898,-,RBP
UBC,UBC|7316,-,RBP
UBE2D1,UBE2D1|7321,-,RBP
UBE2I,UBE2I|7329,-,RBP
UBE2L3,UBE2L3|7332,-,RBP
UBE2N,UBE2N|7334,-,RBP
UBE2O,UBE2O|63893,-,RBP
UBFD1,UBFD1|56061,-,RBP
UBTF,UBTF|7343,-,RBP
UCHL5,UCHL5|51377,-,RBP
UNK,UNK|85451,-,RBP
UPF1,UPF1|5976,-,RBP
UPF3B,UPF3B|65109,-,RBP
URB1,URB1|9875,-,RBP
URB2,URB2|9816,-,RBP
USO1,USO1|8615,-,RBP
USP10,USP10|9100,-,RBP
USP36,USP36|57602,-,RBP
USP39,USP39|10713,-,RBP
UTP11L,UTP11L|51118,-,RBP
UTP14A,UTP14A|10813,-,RBP
UTP14C,UTP14C|9724,-,RBP
UTP15,UTP15|84135,-,RBP
UTP18,UTP18|51096,-,RBP
UTP20,UTP20|27340,-,RBP
UTP23,UTP23|84294,-,RBP
UTP3,UTP3|57050,-,RBP
UTP6,UTP6|55813,-,RBP
VCP,VCP|7415,-,RBP
WBP11,WBP11|51729,-,RBP
WBP4,WBP4|11193,-,RBP
WBSCR16,WBSCR16|81554,-,RBP
WBSCR22,WBSCR22|114049,-,RBP
WDR25,WDR25|79446,-,RBP
WDR3,WDR3|10885,-,RBP
WDR33,WDR33|55339,-,RBP
WDR36,WDR36|134430,-,RBP
WDR43,WDR43|23160,-,RBP
WDR46,WDR46|9277,-,RBP
WDR6,WDR6|11180,-,RBP
WDR75,WDR75|84128,-,RBP
WDR77,WDR77|79084,-,RBP
WDR83,WDR83|84292,-,RBP
WIBG,WIBG|84305,-,RBP
WTAP,WTAP|9589,-,RBP
XAB2,XAB2|56949,-,RBP
XIRP1,XIRP1|165904,-,RBP
XPO1,XPO1|7514,-,RBP
XPO5,XPO5|57510,-,RBP
XRCC5,XRCC5|7520,-,RBP
XRCC6,XRCC6|2547,-,RBP
XRN1,XRN1|54464,-,RBP
XRN2,XRN2|22803,-,RBP
YARS,YARS|8565,-,RBP
YARS2,YARS2|51067,-,RBP
YLPM1,YLPM1|56252,-,RBP
YTHDC1,YTHDC1|91746,-,RBP
YTHDC2,YTHDC2|64848,-,RBP
YTHDF1,YTHDF1|54915,-,RBP
YTHDF2,YTHDF2|51441,-,RBP
YTHDF3,YTHDF3|253943,-,RBP
YWHAE,YWHAE|7531,-,RBP
YWHAG,YWHAG|7532,-,RBP
YWHAH,YWHAH|7533,-,RBP
YWHAZ,YWHAZ|7534,-,RBP
ZAK,ZAK|51776,-,RBP
ZBTB11,ZBTB11|27107,-,RBP
ZC3H11A,ZC3H11A|9877,-,RBP
ZC3H13,ZC3H13|23091,-,RBP
ZC3H15,ZC3H15|55854,-,RBP
ZC3H18,ZC3H18|124245,-,RBP
ZC3H4,ZC3H4|23211,-,RBP
ZC3H7A,ZC3H7A|29066,-,RBP
ZC3H7B,ZC3H7B|23264,-,RBP
ZC3H8,ZC3H8|84524,-,RBP
ZC3HAV1,ZC3HAV1|56829,-,RBP
ZCCHC11,ZCCHC11|23318,-,RBP
ZCCHC17,ZCCHC17|51538,-,RBP
ZCCHC24,ZCCHC24|219654,-,RBP
ZCCHC3,ZCCHC3|85364,-,RBP
ZCCHC6,ZCCHC6|79670,-,RBP
ZCCHC7,ZCCHC7|84186,-,RBP
ZCCHC8,ZCCHC8|55596,-,RBP
ZCCHC9,ZCCHC9|84240,-,RBP
ZFC3H1,ZFC3H1|196441,-,RBP
ZFP106,ZFP106|64397,-,RBP
ZFP36,ZFP36|7538,-,RBP
ZFP36L1,ZFP36L1|677,-,RBP
ZFP36L2,ZFP36L2|678,-,RBP
ZFR,ZFR|51663,-,RBP
ZMAT2,ZMAT2|153527,-,RBP
ZMAT3,ZMAT3|64393,-,RBP
ZMAT5,ZMAT5|55954,-,RBP
ZNF138,ZNF138|7697,-,RBP
ZNF207,ZNF207|7756,-,RBP
ZNF326,ZNF326|284695,-,RBP
ZNF346,ZNF346|23567,-,RBP
ZNF385A,ZNF385A|25946,-,RBP
ZNF579,ZNF579|163033,-,RBP
ZNF593,ZNF593|51042,-,RBP
ZNF598,ZNF598|90850,-,RBP
ZNF622,ZNF622|90441,-,RBP
ZNF768,ZNF768|79724,-,RBP
ZNFX1,ZNFX1|57169,-,RBP
ZNHIT6,ZNHIT6|54680,-,RBP
ZYX,ZYX|7791,-,RBP
