ID_in_Cello2,Patient,Batch,geneSymbol,I_exon8_covbases,I_exon8_meandepth,I_exon9_covbases,I_exon9_meandepth,I_exon10_covbases,I_exon10_meandepth,I_form2_covbases,I_form2_meandepth,I_form4_covbases,I_form4_meandepth,R_exon8_covbases,R_exon8_meandepth,R_exon9_covbases,R_exon9_meandepth,R_exon10_covbases,R_exon10_meandepth,R_form2_covbases,R_form2_meandepth,R_form4_covbases,R_form4_meandepth,I_norm_form4,R_norm_form4,Source.x,I_11_10,I_11_9,I_11_8,I_10_9,I_9_8,R_11_10,R_11_9,R_11_8,R_10_9,R_9_8,I_psi,R_psi,RvI,Diff
PS025,R025,B,CD47,32,614.5,25,33.72,33,19.1515,32,614.5,58,25.43102586,32,552.062,25,40.64,33,33.5758,32,552.062,58,36.62071379,0.041384908,0.066334422,NG2016,19,27,533,10,34,29,33,508,12,41,0.03442029,0.054003724,1.360888148,0.019583435
PS026,R026,B,CD47,32,398.156,25,54.6,33,54.1818,32,398.156,58,54.36205862,32,387.125,25,28.48,33,18.6061,32,387.125,58,22.86209138,0.136534571,0.059056097,NG2016,37,15,322,36,61,16,13,339,12,32,0.103064067,0.045070423,0.500590319,-0.057993644
PS027,R027,B,CD47,32,207.969,25,11.44,33,25.7879,32,207.969,58,19.60346034,32,224,25,8.16,33,16.5152,32,224,58,12.91382069,0.094261454,0.057650985,NG2016,7,7,198,3,13,10,3,200,3,11,0.034146341,0.047619048,1.037529691,0.013472706
PS029,R029,B,CD47,32,796.844,25,68,33,62.5152,32,796.844,58,64.87933793,32,441.281,25,33.96,33,30.3636,32,441.281,58,31.91377241,0.081420376,0.072320749,NG2016,40,36,698,29,60,21,13,374,21,37,0.054200542,0.053164557,1.076526055,-0.001035985
PS030,R030,C,CD47,32,488,25,36.48,33,28.5152,32,488,58,31.94830345,32,450.094,25,24.12,33,19.7576,32,450.094,58,21.63794483,0.065467835,0.04807428,NG2016,28,20,444,19,39,28,18,429,13,28,0.059322034,0.061269147,0.873313955,0.001947113
PS033,R033,C,CD47,32,718.875,25,27.08,33,9.60606,32,718.875,58,17.13793069,32,599.875,25,26.48,33,21.8485,32,599.875,58,23.84483621,0.023839931,0.039749675,NG2016,16,31,612,4,37,25,19,543,11,39,0.025477707,0.044014085,1.340902379,0.018536378
PS034,R034,C,CD47,32,646.375,25,23.6,33,14.4848,32,646.375,58,18.41376552,32,436.688,25,21.68,33,12.8788,32,436.688,58,16.67242069,0.028487744,0.038179251,NG2016,19,24,616,6,25,13,11,405,9,23,0.02992126,0.031100478,1.234042553,0.001179219
PS035,R035,C,CD47,32,611.219,25,48.24,33,36.5455,32,611.219,58,41.58623276,32,529.406,25,31.6,33,22.5455,32,529.406,58,26.44830172,0.068038187,0.049958447,NG2016,47,23,551,33,52,31,23,492,16,42,0.078595318,0.059273423,0.837829573,-0.019321895
PS038,R038,C,CD47,32,463.625,25,16.76,33,8.69697,32,463.625,58,12.17241397,32,354.469,25,37.28,33,20.1212,32,354.469,58,27.51723448,0.02625487,0.077629453,NG2016,11,9,427,7,27,18,13,335,16,42,0.025114155,0.050991501,1.929343908,0.025877346
PS042,R042,C,CD47,32,1691.62,25,69.88,33,42.1818,32,1691.62,58,54.12067931,32,557.406,25,77.52,33,73.7576,32,557.406,58,75.37932414,0.031993402,0.135232352,NG2016,52,64,1555,25,77,77,22,419,61,47,0.032358432,0.155241935,3.236442167,0.122883504
PS056,R056,E,CD47,32,781.219,25,17.8,33,10.6667,32,781.219,58,13.74139828,32,465.344,25,50,33,45.0303,32,465.344,58,47.17241207,0.017589688,0.101371055,NG2016,9,10,676,7,38,47,5,416,41,61,0.013138686,0.101511879,3.419918515,0.088373193
PS059,R059,E,CD47,32,467.344,25,33.04,33,23.9697,32,467.344,58,27.87931207,32,404.406,25,20.48,33,7.06061,32,404.406,58,12.84482983,0.059654798,0.031762214,NG2016,19,21,449,10,32,8,15,403,4,18,0.040598291,0.01946472,0.581495098,-0.02113357
